"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"1_pcg_422000","Comites d'entreprises et autres organes représentatifs du personnel","422000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_423000","Personnel, œuvres sociales","423000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_425000","Personnel – rémunérations dues","425000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_426000","Personnel – dépôts","426000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_427000","Personnel - oppositions","427000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_428200","Dettes provisionnées pour congés a payer","428200","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_428600","Autres charges a payer","428600","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_428700","Produits a recevoir","428700","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_431000","État - subventions a recevoir","431000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_432000","État, Impôts et taxes retenus a la source","432000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_432001","Retenue 5%","432001","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_432002","Impôt (déclaration mensuelle)","432002","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_432100","IRPP a payer","432100","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_433000","Opérations particulières avec l’état, les collectivités publiques, les organismes internationaux","433000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
